CATEGORY,MODEL,WASM,WebGL,DNNL,clDNN
Image Classification,SqueezeNet (TFLite),250.52+-NaN/lesser panda:90.48%/teddy:3.80%/giant panda:2.50%,49.94+-NaN/lesser panda:91.39%/giant panda:3.04%/teddy:2.50%,4.48+-NaN/lesser panda:90.48%/teddy:3.80%/giant panda:2.50%,8.34+-NaN/lesser panda:90.48%/teddy:3.80%/giant panda:2.50%
Image Classification,SqueezeNet (ONNX),"122.55+-NaN/lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens:99.39%/polecat, fitch, foulmart, foumart, Mustela putorius:0.27%/weasel:0.26%","26.52+-NaN/lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens:99.45%/polecat, fitch, foulmart, foumart, Mustela putorius:0.25%/weasel:0.23%","3.83+-NaN/lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens:99.39%/polecat, fitch, foulmart, foumart, Mustela putorius:0.27%/weasel:0.26%","4.95+-NaN/lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens:99.39%/polecat, fitch, foulmart, foumart, Mustela putorius:0.27%/weasel:0.26%"
